,MEMBER_NO,clusters
0,54993,2.0
1,28065,5.0
2,55106,5.0
3,21189,5.0
4,39546,2.0
5,56972,5.0
6,44924,2.0
7,22631,2.0
8,32197,5.0
9,31645,2.0
10,58877,5.0
11,37994,5.0
12,28012,2.0
13,54943,2.0
14,57881,5.0
15,1254,5.0
16,8253,2.0
17,58899,2.0
18,26955,5.0
19,41616,2.0
20,21501,5.0
21,41281,5.0
22,47229,2.0
23,28474,5.0
24,58472,2.0
25,13942,5.0
26,45075,5.0
27,47114,2.0
28,54619,2.0
29,12349,5.0
30,35883,2.0
31,56091,2.0
32,2137,2.0
33,27708,5.0
34,28014,5.0
35,3539,5.0
36,56149,2.0
37,44936,2.0
38,62751,5.0
39,40066,2.0
40,18793,2.0
41,13963,2.0
42,46084,5.0
43,58798,2.0
44,56089,5.0
45,58693,2.0
46,28780,2.0
47,27836,2.0
48,38073,2.0
49,22629,5.0
50,12326,5.0
51,24222,5.0
52,916,2.0
53,45008,5.0
54,11523,5.0
55,56088,5.0
56,56573,5.0
57,38883,2.0
58,38035,5.0
59,11034,2.0
60,47143,5.0
61,29033,5.0
62,16812,2.0
63,5241,2.0
64,49208,5.0
65,38241,2.0
66,38456,5.0
67,44377,5.0
68,49737,5.0
69,47919,5.0
70,23528,5.0
71,58088,5.0
72,51079,5.0
73,19420,5.0
74,58753,5.0
75,13517,5.0
76,56048,5.0
77,50434,2.0
78,13869,2.0
79,47432,5.0
80,60658,2.0
81,9744,5.0
82,18111,5.0
83,42444,5.0
84,11055,2.0
85,47107,2.0
86,62880,5.0
87,49441,5.0
88,20569,2.0
89,47687,5.0
90,37305,5.0
91,58189,2.0
92,25857,5.0
93,951,2.0
94,4178,5.0
95,2010,2.0
96,38290,2.0
97,57622,5.0
98,2001,5.0
99,60311,5.0
100,36030,5.0
101,35766,5.0
102,33319,2.0
103,55096,2.0
104,30681,2.0
105,17837,5.0
106,3872,5.0
107,56201,2.0
108,4468,2.0
109,32602,2.0
110,11277,2.0
111,45117,2.0
112,19051,2.0
113,19371,5.0
114,60020,2.0
115,2007,5.0
116,56093,2.0
117,62762,5.0
118,49215,2.0
119,20362,2.0
120,38022,2.0
121,47179,5.0
122,17903,2.0
123,45581,2.0
124,47255,5.0
125,876,2.0
126,6088,5.0
127,50931,2.0
128,38443,5.0
129,8850,5.0
130,59307,5.0
131,20121,5.0
132,53451,2.0
133,59669,2.0
134,49369,2.0
135,52814,2.0
136,57377,5.0
137,31219,2.0
138,29392,2.0
139,12578,5.0
140,19439,2.0
141,29034,2.0
142,2012,2.0
143,47194,2.0
144,26406,2.0
145,56437,2.0
146,59509,5.0
147,13061,2.0
148,12155,5.0
149,26960,5.0
150,1123,5.0
151,12536,2.0
152,43627,5.0
153,37021,2.0
154,40792,5.0
155,22418,2.0
156,27900,5.0
157,21245,5.0
158,2006,2.0
159,11028,2.0
160,62642,2.0
161,29051,5.0
162,19073,2.0
163,58686,2.0
164,781,2.0
165,36780,5.0
166,1359,2.0
167,29076,2.0
168,49714,5.0
169,55458,2.0
170,59905,2.0
171,28087,5.0
172,14825,2.0
173,20173,2.0
174,18700,2.0
175,47040,2.0
176,5040,5.0
177,19751,5.0
178,9980,2.0
179,38079,2.0
180,38098,2.0
181,33282,2.0
182,53999,5.0
183,58806,5.0
184,18869,5.0
185,47265,5.0
186,29997,5.0
187,56325,2.0
188,13606,2.0
189,2104,5.0
190,40556,2.0
191,11511,5.0
192,49752,5.0
193,58064,2.0
194,19497,5.0
195,21578,2.0
196,45772,2.0
197,51134,2.0
198,53729,5.0
199,44980,5.0
200,11139,5.0
201,11327,2.0
202,20131,2.0
203,47276,5.0
204,13323,2.0
205,56336,2.0
206,19460,2.0
207,15014,2.0
208,21884,2.0
209,11030,5.0
210,10164,2.0
211,2196,5.0
212,38329,5.0
213,3092,2.0
214,31122,5.0
215,44276,2.0
216,38451,2.0
217,30926,2.0
218,36573,5.0
219,17463,5.0
220,20144,2.0
221,20731,5.0
222,2129,5.0
223,53365,2.0
224,3018,5.0
225,36912,2.0
226,1159,5.0
227,39380,2.0
228,12218,5.0
229,38199,2.0
230,38134,5.0
231,49346,5.0
232,46325,2.0
233,27661,2.0
234,39773,2.0
235,3321,2.0
236,47224,5.0
237,14675,5.0
238,36635,2.0
239,20685,2.0
240,20116,5.0
241,27657,5.0
242,30225,2.0
243,39847,5.0
244,19134,2.0
245,30983,2.0
246,53954,5.0
247,13680,2.0
248,56497,2.0
249,20401,5.0
250,23819,2.0
251,3110,2.0
252,23531,5.0
253,27678,5.0
254,4581,2.0
255,3339,5.0
256,36953,2.0
257,44217,5.0
258,13818,2.0
259,8608,2.0
260,2303,5.0
261,33645,2.0
262,27651,2.0
263,9874,5.0
264,50023,5.0
265,40219,2.0
266,35876,5.0
267,58293,5.0
268,5737,2.0
269,39208,2.0
270,13798,2.0
271,58411,2.0
272,13846,5.0
273,27945,5.0
